root@ubuntu-s-1vcpu-1gb-sfo3-01:~/PolyNotifyBot# sudo journalctl -u psniper-bot -f | grep "📊 Scored pair"
Mar 29 15:56:54 ubuntu-s-1vcpu-1gb-sfo3-01 python3[3491996]: 🔀 [Arb/Oddpool] 📊 Scored pair='ufc-flyweight-champion-2026_tatsuro_taira': net_edge=-1.10% AR=0.00× conf=0.00 fill=29 score=0.0 | gross=2.00¢ days=276.3
Mar 29 15:56:54 ubuntu-s-1vcpu-1gb-sfo3-01 python3[3491996]: 🔀 [Arb/Oddpool] 📊 Scored pair='sp500-add-q1-2026_pure_storage': net_edge=-1.20% AR=0.00× conf=0.00 fill=421 score=0.0 | gross=0.90¢ days=1.3

Mar 29 15:56:59 ubuntu-s-1vcpu-1gb-sfo3-01 python3[3491996]: 🔀 [Arb/Oddpool] 📊 Scored pair='spacex-ipo-closing-market-cap_ipo_800b_900b': net_edge=-1.20% AR=0.00× conf=0.00 fill=10 score=0.0 | gross=0.90¢ days=641.3
Mar 29 15:56:59 ubuntu-s-1vcpu-1gb-sfo3-01 python3[3491996]: 🔀 [Arb/Oddpool] 📊 Scored pair='uk-prime-minister-2026_angela_rayner': net_edge=-1.20% AR=0.00× conf=0.00 fill=0 score=0.0 | gross=0.90¢ days=276.3
Mar 29 15:56:59 ubuntu-s-1vcpu-1gb-sfo3-01 python3[3491996]: 🔀 [Arb/Oddpool] 📊 Scored pair='brazil-presidential-election-2026_renan_santos': net_edge=-1.20% AR=0.00× conf=0.00 fill=0 score=0.0 | gross=1.90¢ days=188.3
Mar 29 15:56:59 ubuntu-s-1vcpu-1gb-sfo3-01 python3[3491996]: 🔀 [Arb/Oddpool] 📊 Scored pair='nl-cy-young-winner-2026_logan_webb': net_edge=-1.20% AR=0.00× conf=0.00 fill=10 score=0.0 | gross=1.90¢ days=227.3
Mar 29 15:56:59 ubuntu-s-1vcpu-1gb-sfo3-01 python3[3491996]: 🔀 [Arb/Oddpool] 📊 Scored pair='acquisitions-before-2027_nebius_group': net_edge=-1.30% AR=0.00× conf=0.00 fill=443 score=0.0 | gross=0.80¢ days=276.3
Mar 29 15:56:59 ubuntu-s-1vcpu-1gb-sfo3-01 python3[3491996]: 🔀 [Arb/Oddpool] 📊 Scored pair='ecb-interest-rates-april-2026_cut_50bps': net_edge=-1.30% AR=0.00× conf=0.00 fill=2590 score=0.0 | gross=0.80¢ days=31.3
Mar 29 15:56:59 ubuntu-s-1vcpu-1gb-sfo3-01 python3[3491996]: 🔀 [Arb/Oddpool] 📊 Scored pair='nba-champion-2026_lal': net_edge=-1.30% AR=0.00× conf=0.00 fill=0 score=0.0 | gross=0.80¢ days=93.3
